id,parent id,value,,
Total pop,,"228,182",,
Christian,total pop,"173,402",,
Catholic,Christian,"57,199",,
Baptist,Christian,"36,148",,
Protest.,Christian,"5,187",,
Methodi.,Christian,"11,366",,
Luthera.,Christian,"8,674",,
noden Ch,Christian,"16,834",,
Presbyt.,Christian,"4,723",,
Penteco.,Christian,"5,416",,
Evangel.,Christian,"2,154",,
Nondeno.,Christian,"8,032",,
Other R.,total pop,"8,796",,
Jewish,Other Rel,"2,680",,
Muslim,Other Rel,"1,349",,
Buddhis.,Other Rel,"1,189",,
unclass.,Other Rel,"1,030",,
No Reli.,total pop,"34,169",,
Atheist.,No Rel,"1,621",,
Agnosti.,No Rel,"1,985",,
