Identity,Imp,Religion,Value
Holoc.,Y,R,0.5805,
Holoc.,N,R,0.167,
Holoc.,Y,NR,0.2988,
Holoc.,N,NR,0.1040,
ML,Y,R,0.5691,
ML,N,R,0.281,
ML,Y,NR,0.2834,
ML,N,NR,0.1194,
JL,Y,R,0.4077,
JL,N,R,0.1895,
JL,Y,NR,0.1498,
JL,N,NR,0.2529,
Humour,Y,R,0.4448,
Humour,N,R,0.1524,
Humour,Y,NR,0.2334,
Humour,N,NR,0.1693,
SJ,Y,R,0.5468,
SJ,N,R,0.504,
SJ,Y,NR,0.2688,
SJ,N,NR,0.1340,
Intellect,Y,R,0.5110,
Intellect,N,R,0.862,
Intellect,Y,NR,0.2555,
Intellect,N,NR,0.1473,
Food,Y,R,0.3428,
Food,N,R,0.2544,
Food,Y,NR,0.1372,
Food,N,NR,0.2656,
Israel,Y,R,0.5492,
Israel,N,R,0.480,
Israel,Y,NR,0.2577,
Israel,N,NR,0.1451,
Comm,Y,R,0.4838,
Comm,N,R,0.1134,
Comm,Y,NR,0.1715,
Comm,N,NR,0.2313,
